REGION,MONTH,TEMPMAX_90th
2000,1,9.81
2000,2,11.246
2000,3,14.4
2000,4,18.461000000000002
2000,5,22.975
2000,6,24.951
2000,7,27.275
2000,8,27.445
2000,9,23.471999999999998
2000,10,19.28
2000,11,13.523
2000,12,10.395
3000,1,8.635
3000,2,10.000000000000002
3000,3,13.975
3000,4,18.133
3000,5,22.335
3000,6,24.79
3000,7,26.905
3000,8,27.13
3000,9,23.253
3000,10,18.81
3000,11,12.615
3000,12,9.27
4000,1,9.74
4000,2,11.282
4000,3,14.9
4000,4,18.732
4000,5,23.235
4000,6,25.25
4000,7,27.275
4000,8,27.095
4000,9,23.473
4000,10,19.19
4000,11,13.55
4000,12,10.16
